"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2455,200000000,0,0,0,1,0,1,0,0
393,-2062,200000000,0,0,0,0,0,1,0,0
458,-1997,200000000,0,0,0,0,0,0,0,0
1394,-1061,200000000,0,0,0,1,0,0,0,0
1457,-998,200000000,0,0,0,1,0,1,0,0
2395,-60,200000000,0,0,0,0,0,1,0,0
2455,0,200000000,0,0,0,0,0,0,0,0
3396,941,200000000,0,0,0,1,0,0,0,0
3453,998,200000000,0,0,0,1,0,1,0,0
3454,999,200000000,0,0,0,1,0,1,1,0
3455,1000,200000000,0,0,0,1,0,1,0,0
4396,1941,200000000,0,0,0,0,0,1,0,0
4452,1997,200000000,0,0,0,0,0,0,0,0
5397,2942,200000000,0,0,0,1,0,0,0,0
5450,2995,200000000,0,0,0,1,0,1,0,0
5451,2996,200000000,0,0,0,1,0,1,1,0
5452,2997,200000000,0,0,0,1,0,1,0,0
6398,3943,200000000,0,0,0,0,0,1,0,0
6449,3994,200000000,0,0,0,0,0,0,0,0
7399,4944,200000000,0,0,0,1,0,0,0,0
7447,4992,200000000,0,0,0,1,0,1,0,0
7448,4993,200000000,0,0,0,1,0,1,1,0
7449,4994,200000000,0,0,0,1,0,1,0,0
8400,5945,200000000,0,0,0,0,0,1,0,0
8445,5990,200000000,0,0,0,0,0,0,0,0
9400,6945,200000000,0,0,0,1,0,0,0,0
9444,6989,200000000,0,0,0,1,0,1,0,0
10401,7946,200000000,0,0,0,0,0,1,0,0
10442,7987,200000000,0,0,0,0,0,0,0,0
11402,8947,200000000,0,0,0,1,0,0,0,0
11440,8985,200000000,0,0,0,1,0,1,0,0
12403,9948,200000000,0,0,0,0,0,1,0,0
12439,9984,200000000,0,0,0,0,0,0,0,0
13403,10948,200000000,0,0,0,1,0,0,0,0
13437,10982,200000000,0,0,0,1,0,1,0,0
13438,10983,200000000,0,0,0,1,0,1,1,0
13439,10984,200000000,0,0,0,1,0,1,0,0
14404,11949,200000000,0,0,0,0,0,1,0,0
14436,11981,200000000,0,0,0,0,0,0,0,0
15405,12950,200000000,0,0,0,1,0,0,0,0
15472,13017,200000000,0,0,0,1,0,1,0,0
16406,13951,200000000,0,0,0,0,0,1,0,0
16471,14016,200000000,0,0,0,0,0,0,0,0
17407,14952,200000000,0,0,0,1,0,0,0,0
17469,15014,200000000,0,0,0,1,0,1,0,0
17470,15015,200000000,0,0,0,1,0,1,1,0
17471,15016,200000000,0,0,0,1,0,1,0,0
18407,15952,200000000,0,0,0,0,0,1,0,0
18468,16013,200000000,0,0,0,0,0,0,0,0
19408,16953,200000000,0,0,0,1,0,0,0,0
19466,17011,200000000,0,0,0,1,0,1,0,0
19467,17012,200000000,0,0,0,1,0,1,1,0
19468,17013,200000000,0,0,0,1,0,1,0,0
20409,17954,200000000,0,0,0,0,0,1,0,0
20465,18010,200000000,0,0,0,0,0,0,0,0
21410,18955,200000000,0,0,0,1,0,0,0,0
21463,19008,200000000,0,0,0,1,0,1,0,0
21464,19009,200000000,0,0,0,1,0,1,1,0
21465,19010,200000000,0,0,0,1,0,1,0,0
22411,19956,200000000,0,0,0,0,0,1,0,0
22461,20006,200000000,0,0,0,0,0,0,0,0
23411,20956,200000000,0,0,0,1,0,0,0,0
23459,21004,200000000,0,0,0,1,0,1,0,0
24412,21957,200000000,0,0,0,0,0,1,0,0
24458,22003,200000000,0,0,0,0,0,0,0,0
24576,22121,200000000,0,0,0,0,0,0,0,0
